企业代号,企业名称,"('金额', 'count')_x","('金额', 'mean')_x","('金额', 'std')_x","('金额', 'min')_x","('金额', '25%')_x","('金额', '50%')_x","('金额', '75%')_x","('金额', 'max')_x","('税额', 'count')_x","('税额', 'mean')_x","('税额', 'std')_x","('税额', 'min')_x","('税额', '25%')_x","('税额', '50%')_x","('税额', '75%')_x","('税额', 'max')_x","('价税合计', 'count')_x","('价税合计', 'mean')_x","('价税合计', 'std')_x","('价税合计', 'min')_x","('价税合计', '25%')_x","('价税合计', '50%')_x","('价税合计', '75%')_x","('价税合计', 'max')_x","('发票状态', 'count')_x","('发票状态', 'unique')_x","('发票状态', 'top')_x","('发票状态', 'freq')_x","('金额', 'count')","('金额', 'mean')","('金额', 'std')","('金额', 'min')","('金额', '25%')","('金额', '50%')","('金额', '75%')","('金额', 'max')","('税额', 'count')","('税额', 'mean')","('税额', 'std')","('税额', 'min')","('税额', '25%')","('税额', '50%')","('税额', '75%')","('税额', 'max')","('价税合计', 'count')","('价税合计', 'mean')","('价税合计', 'std')","('价税合计', 'min')","('价税合计', '25%')","('价税合计', '50%')","('价税合计', '75%')","('价税合计', 'max')","('发票状态', 'count')","('发票状态', 'unique')","('发票状态', 'top')","('发票状态', 'freq')"
E124,个体经营E124 ,17411.0,52971.025771064,124108.97885049199,-881892.24,530.97,9999.03,90909.09,5504587.16,17411.0,4014.8603336970255,9003.788644856191,-141102.76,46.35,1243.28,5589.225,495412.84,17411.0,56985.886104761295,130973.88614620962,-1022995.0,580.0,11576.11,100000.0,6000000.0,17411,2,有效发票,15264,1293.0,685080.2274091365,385106.56109483173,-970873.79,484054.05,900900.9,917431.19,999999.99,1293.0,61293.793047177816,36534.85198770562,-99099.1,30800.0,81818.18,90909.09,110000.0,1293.0,746374.0204563033,415753.23373241787,-1000000.0,527509.96,1000000.0,1000000.0,1109999.99,1293,2,有效发票,1099
E125,个体经营E125 ,20288.0,54017.35958251189,122409.03758164476,-970873.79,640.15,13643.74,91743.12,5504587.16,20288.0,4037.314563781554,8585.711920500777,-141102.76,47.59,1303.45,5937.365,495412.84,20288.0,58054.67414629335,128906.30583224563,-1022995.0,683.075,14850.0,100000.0,6000000.0,20288,2,有效发票,17776,1595.0,688308.2894608242,371485.25240964105,-970873.79,482457.77,900900.9,917431.19,999999.99,1595.0,60973.845611286146,35615.13584427463,-99099.1,29126.21,79883.78,90909.09,110000.0,1595.0,749282.1350721001,400992.4617397552,-1000000.0,519571.52,1000000.0,1000000.0,1109999.99,1595,2,有效发票,1380
E126,个体经营E126 ,533.0,220126.04878048785,300449.2609536251,-95774.37,6767.0,86150.86,293473.18,999961.31,533.0,31292.976810506592,45243.2326758847,-2873.23,291.26,12516.81,36856.86,167396.16,533.0,251419.02559099428,344080.5468993473,-98647.6,6970.0,99600.0,340428.89,1159955.1,533,2,有效发票,515,1516.0,414798.3843733512,394896.5529300169,-986702.91,69089.32,313012.75,854024.845,999296.12,1516.0,14165.362407651755,17946.090935610067,-29601.09,2328.13,9739.205,26124.2925,157276.23,1516.0,428963.74678100256,408119.4119512341,-1016304.0,71162.0,322403.13,881583.2250000001,1082430.5,1516,2,有效发票,1264
E127,个体经营E127 ,1450.0,1194.9272758620682,9323.02717597383,-513.27,172.745,286.74,549.2025,283018.87,1450.0,84.22647586206874,914.7552579463179,-66.73,12.4525,29.65,47.942499999999995,29931.03,1450.0,1279.1537517241375,10137.63057503621,-580.0,200.0,320.0,599.75,300000.0,1450,2,有效发票,1424,4026.0,173082.38929706125,241750.94091155997,-873786.41,97087.38,99902.91,99999.03,999999.99,4026.0,5195.472737208017,7252.130534931545,-26213.59,2912.62,2997.09,2999.97,30000.0,4026.0,178277.86203427718,249002.20851881066,-900000.0,100000.0,102900.0,102999.0,1029999.99,4026,2,有效发票,3904
E128,个体经营E128 ,3222.0,3197.470260707643,15130.191636043755,-92307.69,158.245,283.02,770.605,359223.3,3222.0,150.77302917442586,877.3546084847943,-15692.31,6.555,28.705,55.18,15692.31,3222.0,3348.243289882063,15783.480016630781,-108000.0,173.3025,319.5,800.0,370000.0,3222,2,有效发票,3134,1255.0,203731.37088445865,284770.7461370521,0.0,96116.5,96990.29,97077.67,970873.79,1255.0,7139.037976095637,8486.558044346926,0.0,2909.71,2912.33,9090.91,29126.21,1255.0,210870.4088605577,292912.26975716546,0.0,99500.0,99990.0,100000.0,1000000.0,1255,2,有效发票,1161
E129,个体经营E129 ,6326.0,14783.278465064679,64993.61022808101,-595052.99,194.17,398.23,5037.18,990709.4,6326.0,1785.3296332595578,9121.85420435721,-101159.01,7.34,27.465,291.26,168420.6,6326.0,16568.608098324366,73385.2954404483,-696212.0,205.0,420.0,5553.0,1159130.0,6326,2,有效发票,5928,5817.0,63295.23940691077,40198.65608855286,-99655.17,24487.17,84568.97,97435.9,99993.23,5817.0,9660.547765171063,6588.426628589431,-16686.16,3503.45,11737.93,15779.49,16998.13,5817.0,72955.78717208176,46475.2420397409,-115600.0,28296.0,96600.0,112642.5,116987.1,5817,2,有效发票,5181
E130,个体经营E130 ,3251.0,24637.30223008303,66096.67973740972,-88495.58,256.41,936.89,9980.064999999999,970873.79,3251.0,1674.5824207936087,4243.930080113555,-14781.28,25.05,60.74,1379.31,74311.93,3251.0,26311.884650876673,69450.07857649788,-101730.0,280.5,999.0,11503.02,1000000.0,3251,2,有效发票,3123,1382.0,83377.79574529771,29461.637550624397,-99000.0,90909.09,91743.12,91743.12,99090.91,1382.0,7600.425767004448,2778.6555178871927,-8910.0,8256.88,8256.88,8256.88,9909.09,1382.0,90978.22151230101,32068.62478081126,-107910.0,100000.0,100000.0,100000.0,109000.0,1382,2,有效发票,1321
E131,个体经营E131 ,7077.0,17386.70643351699,63241.17147625426,-99543.1,221.98,2200.82,10006.0,909090.91,7077.0,2165.515746785362,7123.749642586833,-15926.9,19.22,151.46,1502.03,99099.1,7077.0,19552.222180302404,70206.00147624266,-115470.0,240.0,2400.0,11600.0,1000000.0,7077,2,有效发票,6527,3336.0,68685.15886091121,140478.83647368397,-431939.66,5064.6575,21238.94,61876.815,984957.26,3336.0,10744.513396283002,21713.533059281945,-69110.34,776.6949999999999,3221.24,9890.689999999999,167442.74,3336.0,79429.67225719422,162047.32164683228,-501050.0,5800.0,24500.0,72000.0,1152400.0,3336,2,有效发票,3097
E132,个体经营E132 ,5159.0,13275.127865865546,34087.47146457117,-298291.5,172.41,258.62,2393.63,800884.96,5159.0,1270.136759061819,3836.655254118861,-38777.9,22.07,33.36,116.5,104115.04,5159.0,14545.264624927295,37286.025938444785,-337069.4,200.0,300.0,2530.0,905000.0,5159,2,有效发票,5050,1798.0,124245.81036707661,154969.0045256349,-805825.24,90090.09,90909.09,97087.38,970873.79,1798.0,10934.559254727645,12927.11101511702,-24174.76,8256.88,9090.91,9909.91,106148.22,1798.0,135180.36962180206,165874.43179430105,-830000.0,100000.0,100000.0,105000.0,1071132.02,1798,2,有效发票,1659
E133,个体经营E133 ,1645.0,25124.03946504557,77409.17943357893,-340.79,248.54,803.88,9627.18,970873.79,1645.0,1048.3490516717404,3746.087889694699,-44.31,15.85,55.94,284.5,50564.1,1645.0,26172.388516717325,80134.08547525796,-385.1,271.0,840.0,9975.0,1000000.0,1645,2,有效发票,1599,170.0,824464.6810588246,328495.24353280995,-970873.79,950000.0,970873.78,970873.79,973902.91,170.0,24733.940352941223,9854.857435406737,-29126.21,28500.0,29126.21,29126.21,29217.09,170.0,849198.6214117651,338350.10096821544,-1000000.0,978500.0,1000000.0,1000000.0,1003120.0,170,2,有效发票,140
